issue_key,file_path,file,rule,impact_severity,impact_quality,type,message,line,effort,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,sqale_index,lines,reliability_rating,security_rating,commit_count,unique_authors,churn,days_since_modified,satd_count,satd_text,pool_rank,c2_rank,llm_reasoning
AZ4INX28UdMD1-xUqr7g,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1845,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename method ""visit_TEXT"" to prevent any misunderstanding/clash with method ""visit_text"" defined on line 1724",1739,10min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",3,11,"This CODE_SMELL (python:S1845) in mssql/base.py flags a naming clash between method 'visit_TEXT' and method 'visit_text'. In Python's case-insensitive-by-convention visitor dispatch, such clashes can cause incorrect method resolution. The file's extreme complexity amplifies the risk."
AZ4INX28UdMD1-xUqr7h,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1845,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename field ""visit_DATE"" to prevent any misunderstanding/clash with method ""visit_date"" defined on line 1754",1758,10min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",4,12,"This CODE_SMELL (python:S1845) in mssql/base.py flags a naming clash between field 'visit_DATE' and method 'visit_date'. Similar to alerts 2 and 3, this can cause subtle dispatch errors in a highly complex file (cognitive complexity 409)."
AZ4INX28UdMD1-xUqr7i,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1845,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename method ""visit_time"" to prevent any misunderstanding/clash with method ""visit_TIME"" defined on line 1685",1763,10min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",5,13,"This CODE_SMELL (python:S1845) in mssql/base.py flags a naming clash between method 'visit_time' and method 'visit_TIME'. The same visitor-pattern dispatch risk applies as with alerts 2–4, in the same extremely complex file."
AZ4INX4IUdMD1-xUqr-L,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S2638,HIGH,MAINTAINABILITY,CODE_SMELL,Add missing parameters _translate_args.,312,15min,0.0,0.0,16.0,16.0,54.0,16.0,64.0,334.0,A,A,8,3,129,2,,,11,14,"This CODE_SMELL (python:S2638) in aiomysql.py flags a missing parameter '_translate_args' in a method override, which could cause runtime errors if the parent method is called with that argument. The file has 16 code smells and moderate complexity, and missing parameters in overrides are a real correctness risk."
AZ4INX4RUdMD1-xUqr-e,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S2638,HIGH,MAINTAINABILITY,CODE_SMELL,Add missing parameters _translate_args.,314,15min,0.0,0.0,14.0,14.0,55.0,19.0,72.0,338.0,A,A,8,3,122,2,,,14,15,This CODE_SMELL (python:S2638) in asyncmy.py flags the same missing parameter '_translate_args' issue as alert 11 but in a different async MySQL driver file. Missing override parameters can cause runtime failures and deserve prompt attention.
AZ4INX4pUdMD1-xUqr_H,lib/sqlalchemy/dialects/oracle/types.py,types.py,python:S4144,MEDIUM,MAINTAINABILITY,CODE_SMELL,Update this function so that its implementation is not identical to _adapt_from_generic_interval on line 209.,216,15min,0.0,0.0,5.0,5.0,30.0,12.0,35.0,288.0,A,A,5,4,55,54,,,34,16,"This CODE_SMELL (python:S4144) in oracle/types.py flags a function whose implementation is identical to another function, suggesting either dead code or a copy-paste error that may mask a missing distinction. With 15-minute effort and a clean but small file, this is worth investigating for correctness."
AZ4INX2yUdMD1-xUqr7H,lib/sqlalchemy/dialects/mssql/pymssql.py,pymssql.py,python:S2836,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Add a ""break"" statement or remove this ""else"" clause.",110,5min,0.0,0.0,5.0,5.0,18.0,16.0,20.0,127.0,A,A,2,2,3,2,1.0,TODO: monkeypatching here is less than ideal,19,17,"This CODE_SMELL (python:S2836) in mssql/pymssql.py flags a for-else construct where the else clause may be misleading or incorrect (missing break). This is a Python-specific logic pattern that can cause subtle control-flow bugs, and the file has moderate complexity (cognitive 16)."
AZ4INX34UdMD1-xUqr9Z,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S108,MEDIUM,MAINTAINABILITY,CODE_SMELL,Either remove or fill this block of code.,54,5min,0.0,0.0,12.0,12.0,98.0,138.0,102.0,678.0,A,A,4,3,127,2,,,24,18,"This CODE_SMELL (python:S108) in mysql/reflection.py flags an empty code block, which may indicate incomplete implementation or swallowed exceptions. The file has high complexity (cognitive 138, cyclomatic 98) and 12 code smells, making empty blocks in parsing logic a meaningful concern."
AZ4INX34UdMD1-xUqr9a,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S108,MEDIUM,MAINTAINABILITY,CODE_SMELL,Either remove or fill this block of code.,62,5min,0.0,0.0,12.0,12.0,98.0,138.0,102.0,678.0,A,A,4,3,127,2,,,25,19,This is a second empty block (python:S108) in mysql/reflection.py at line 62. Same reasoning as alert 24 applies; multiple empty blocks in a complex reflection/parsing file suggest potentially swallowed errors.
AZ4INX34UdMD1-xUqr9b,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S108,MEDIUM,MAINTAINABILITY,CODE_SMELL,Either remove or fill this block of code.,74,5min,0.0,0.0,12.0,12.0,98.0,138.0,102.0,678.0,A,A,4,3,127,2,,,26,20,This is a third empty block (python:S108) in mysql/reflection.py at line 74. The pattern of three empty blocks in a high-complexity parsing file (cognitive 138) warrants investigation to ensure errors are not being silently ignored.
AZ4INX4mUdMD1-xUqr-5,lib/sqlalchemy/dialects/oracle/cx_oracle.py,cx_oracle.py,python:S125,MEDIUM,MAINTAINABILITY,CODE_SMELL,Remove this commented out code.,1081,5min,1.0,0.0,21.0,22.0,163.0,186.0,113.0,1484.0,C,A,5,4,98,2,9.0,TODO: the names used across CHAR / VARCHAR / NCHAR / NVARCHAR | here are inconsistent and not very good | take care of reserved words | TODO: we could likely do away with quoting altogether for | this is the only way to ensure a transaction is started without | TODO: Others ? | TODO: others? | TODO: need to end XA state here | TODO: need to end XA state here,31,21,"This CODE_SMELL (python:S125) in oracle/cx_oracle.py flags commented-out code, which may represent disabled functionality or a forgotten fix. The file has reliability_rating C and 1 bug, and commented-out code in a complex driver (cognitive 186) can obscure intent and maintenance history."
AZ4INX21UdMD1-xUqr7L,lib/sqlalchemy/dialects/mssql/pyodbc.py,pyodbc.py,python:S1172,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Remove the unused function parameter ""dialect"".",469,5min,0.0,1.0,15.0,16.0,65.0,73.0,69.0,746.0,A,E,3,2,67,2,,,20,22,"This CODE_SMELL (python:S1172) in mssql/pyodbc.py flags an unused function parameter 'dialect'. The file has security_rating E (due to the hardcoded password vulnerability), and unused parameters can indicate dead code paths or incorrect API usage in a security-sensitive file."
AZ4INX4VUdMD1-xUqr-g,lib/sqlalchemy/dialects/mysql/pymysql.py,pymysql.py,python:S117,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this local variable ""Connection"" to match the regular expression ^[_a-z][a-z0-9_]*$.",89,2min,0.0,1.0,2.0,3.0,14.0,16.0,7.0,138.0,A,E,4,3,48,2,,,46,23,"This CODE_SMELL (python:S117) in mysql/pymysql.py flags a local variable 'Connection' that doesn't follow naming conventions. The file has security_rating E (1 vulnerability), and while naming issues are minor, the security context of the file elevates its priority slightly."
AZ4INX34UdMD1-xUqr9W,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S1066,MEDIUM,MAINTAINABILITY,CODE_SMELL,Merge this if statement with the enclosing one.,189,5min,0.0,0.0,12.0,12.0,98.0,138.0,102.0,678.0,A,A,4,3,127,2,,,27,24,"This CODE_SMELL (python:S1066) in mysql/reflection.py flags a nested if that could be merged with its enclosing one, increasing cognitive complexity unnecessarily. The file already has high cognitive complexity (138), so simplifying control flow is worthwhile."
AZ4INX34UdMD1-xUqr9X,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S1066,MEDIUM,MAINTAINABILITY,CODE_SMELL,Merge this if statement with the enclosing one.,269,5min,0.0,0.0,12.0,12.0,98.0,138.0,102.0,678.0,A,A,4,3,127,2,,,28,25,This is a second nested-if merging opportunity (python:S1066) in mysql/reflection.py at line 269. Same reasoning as alert 27; reducing unnecessary nesting in a high-complexity file improves maintainability.
AZ4INX4RUdMD1-xUqr-a,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S1845,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename field ""Binary"" to prevent any misunderstanding/clash with field ""BINARY"" defined on line 267",270,10min,0.0,0.0,14.0,14.0,55.0,19.0,72.0,338.0,A,A,8,3,122,2,,,13,26,"This CODE_SMELL (python:S1845) in asyncmy.py flags a naming clash between field 'Binary' and field 'BINARY'. While less risky than method dispatch clashes, it can cause confusion and potential attribute resolution issues in Python."
AZ4INYCJUdMD1-xUqsSr,lib/sqlalchemy/__init__.py,__init__.py,python:S1172,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Remove the unused function parameter ""lcls"".",275,5min,0.0,0.0,1.0,1.0,3.0,1.0,5.0,295.0,A,A,17,5,42,24,,,18,27,"This CODE_SMELL (python:S1172) in sqlalchemy/__init__.py flags an unused parameter 'lcls' in a top-level init function. The file is small and simple (complexity 3, cognitive 1), but unused parameters in public API entry points can indicate interface design issues."
AZ4INX4pUdMD1-xUqr_F,lib/sqlalchemy/dialects/oracle/types.py,types.py,python:S1172,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Remove the unused function parameter ""dialect"".",128,5min,0.0,0.0,5.0,5.0,30.0,12.0,35.0,288.0,A,A,5,4,55,54,,,32,28,"This CODE_SMELL (python:S1172) in oracle/types.py flags an unused parameter 'dialect' at line 128. The file is relatively small with low complexity, and unused parameters in type conversion methods may indicate incomplete implementation."
AZ4INX4pUdMD1-xUqr_G,lib/sqlalchemy/dialects/oracle/types.py,types.py,python:S1172,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Remove the unused function parameter ""dialect"".",146,5min,0.0,0.0,5.0,5.0,30.0,12.0,35.0,288.0,A,A,5,4,55,54,,,33,29,"This CODE_SMELL (python:S1172) in oracle/types.py flags another unused 'dialect' parameter at line 146. Similar to alert 32, this is a minor issue in a low-complexity file but worth noting for API correctness."
AZ4INX4RUdMD1-xUqr-Z,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S1542,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Rename function ""_Binary"" to match the regular expression ^[a-z_][a-z0-9_]*$.",238,10min,0.0,0.0,14.0,14.0,55.0,19.0,72.0,338.0,A,A,8,3,122,2,,,21,30,"This CODE_SMELL (python:S1542) in asyncmy.py flags a function named '_Binary' that doesn't match the expected naming convention. This is a style issue with low practical risk, though it may cause confusion alongside the related naming clash in alert 13."
AZ4INX3WUdMD1-xUqr8n,lib/sqlalchemy/dialects/postgresql/asyncpg.py,asyncpg.py,python:S3626,LOW,MAINTAINABILITY,CODE_SMELL,Remove this redundant continue.,675,1min,0.0,0.0,17.0,17.0,164.0,141.0,67.0,1279.0,A,A,14,4,290,23,2.0,TODO: looks like we have to hand-roll some kind of batching here. | hardcoding for the moment but this should be improved.,50,31,"This CODE_SMELL (python:S3626) in postgresql/asyncpg.py flags a redundant 'continue' statement. The file has moderate complexity (cognitive 141, cyclomatic 164) and 17 code smells, but a redundant continue is a very minor issue with minimal practical impact."
AZ4INX4IUdMD1-xUqr9-,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",118,5min,0.0,0.0,16.0,16.0,54.0,16.0,64.0,334.0,A,A,8,3,129,2,,,8,32,"This CODE_SMELL (python:S1186) in aiomysql.py flags an empty method at line 118 without explanation. Empty methods in async adapters may be intentional stubs, but should be documented. The file has 16 code smells and moderate complexity."
AZ4INX4IUdMD1-xUqr-I,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",274,5min,0.0,0.0,16.0,16.0,54.0,16.0,64.0,334.0,A,A,8,3,129,2,,,9,33,This CODE_SMELL (python:S1186) in aiomysql.py flags another empty method at line 274. Same reasoning as alert 8; likely an intentional stub that needs a comment explaining the intent.
AZ4INX4IUdMD1-xUqr-J,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",278,5min,0.0,0.0,16.0,16.0,54.0,16.0,64.0,334.0,A,A,8,3,129,2,,,10,34,"This CODE_SMELL (python:S1186) in aiomysql.py flags a third empty method at line 278. The pattern of multiple empty methods in this file suggests intentional stubs, reducing urgency, but documentation is still warranted."
AZ4INX4RUdMD1-xUqr-T,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",119,5min,0.0,0.0,14.0,14.0,55.0,19.0,72.0,338.0,A,A,8,3,122,2,,,12,35,"This CODE_SMELL (python:S1186) in asyncmy.py flags an empty method at line 119. Similar to the aiomysql empty method alerts, this is likely an intentional stub in an async adapter that needs a clarifying comment."
AZ4INX3_UdMD1-xUqr9r,lib/sqlalchemy/dialects/mysql/base.py,base.py,python:S6035,MEDIUM,MAINTAINABILITY,CODE_SMELL,Replace this alternation with a character class.,2596,5min,0.0,7.0,13.0,20.0,391.0,384.0,113.0,3450.0,A,E,17,9,1405,2,3.0,that hits each backend and maybe make a requires rule for it? | TODO: remove ?? | is very slow since mysql does not seem able to properly use indexse.,23,36,"This CODE_SMELL (python:S6035) in mysql/base.py flags a regex alternation that could be simplified to a character class. While the file has security_rating E, this specific issue is a minor regex style concern with minimal practical impact."
AZ4INX21UdMD1-xUqr7K,lib/sqlalchemy/dialects/mssql/pyodbc.py,pyodbc.py,python:S117,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this local variable ""DBAPIBinary"" to match the regular expression ^[_a-z][a-z0-9_]*$.",452,2min,0.0,1.0,15.0,16.0,65.0,73.0,69.0,746.0,A,E,3,2,67,2,,,42,37,"This CODE_SMELL (python:S117) in mssql/pyodbc.py flags a local variable 'DBAPIBinary' not matching naming conventions. The file has security_rating E, but this is a minor naming style issue with low practical risk."
AZ4INX21UdMD1-xUqr7W,lib/sqlalchemy/dialects/mssql/pyodbc.py,pyodbc.py,python:S117,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this local variable ""odbc_SQL_SS_TIMESTAMPOFFSET"" to match the regular expression ^[_a-z][a-z0-9_]*$.",716,2min,0.0,1.0,15.0,16.0,65.0,73.0,69.0,746.0,A,E,3,2,67,2,,,43,38,"This CODE_SMELL (python:S117) in mssql/pyodbc.py flags a local variable 'odbc_SQL_SS_TIMESTAMPOFFSET' not matching naming conventions. Similar to alert 42, this is a minor style issue in a security-sensitive file."
AZ4INX4CUdMD1-xUqr95,lib/sqlalchemy/dialects/mysql/pyodbc.py,pyodbc.py,python:S117,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this local variable ""pyodbc_SQL_CHAR"" to match the regular expression ^[_a-z][a-z0-9_]*$.",129,2min,0.0,0.0,4.0,4.0,11.0,6.0,14.0,139.0,A,A,3,3,48,2,,,47,39,"This CODE_SMELL (python:S117) in mysql/pyodbc.py flags a local variable 'pyodbc_SQL_CHAR' not matching naming conventions. The file is small and simple with no vulnerabilities, making this a low-priority style issue."
AZ4INX4CUdMD1-xUqr96,lib/sqlalchemy/dialects/mysql/pyodbc.py,pyodbc.py,python:S117,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this local variable ""pyodbc_SQL_WCHAR"" to match the regular expression ^[_a-z][a-z0-9_]*$.",130,2min,0.0,0.0,4.0,4.0,11.0,6.0,14.0,139.0,A,A,3,3,48,2,,,48,40,"This CODE_SMELL (python:S117) in mysql/pyodbc.py flags a local variable 'pyodbc_SQL_WCHAR' not matching naming conventions. Essentially identical in nature and context to alert 47, with minimal practical impact."
AZ4INX57UdMD1-xUqsBK,lib/sqlalchemy/connectors/aioodbc.py,aioodbc.py,python:S101,LOW,MAINTAINABILITY,CODE_SMELL,"Rename class ""AsyncAdapt_aioodbc_cursor"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$.",28,5min,0.0,0.0,7.0,7.0,24.0,12.0,32.0,175.0,A,A,4,2,24,67,1.0,how it's supposed to work,35,41,"This CODE_SMELL (python:S101) in aioodbc.py flags a class name not matching the expected naming convention. The file is small with low complexity and no bugs or vulnerabilities, making this a low-priority style issue."
AZ4INX57UdMD1-xUqsBL,lib/sqlalchemy/connectors/aioodbc.py,aioodbc.py,python:S101,LOW,MAINTAINABILITY,CODE_SMELL,"Rename class ""AsyncAdapt_aioodbc_ss_cursor"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$.",39,5min,0.0,0.0,7.0,7.0,24.0,12.0,32.0,175.0,A,A,4,2,24,67,1.0,how it's supposed to work,36,42,This CODE_SMELL (python:S101) in aioodbc.py flags another class name not matching naming conventions. Same context as alert 35; purely a style concern in a low-risk file.
AZ4INX57UdMD1-xUqsBM,lib/sqlalchemy/connectors/aioodbc.py,aioodbc.py,python:S101,LOW,MAINTAINABILITY,CODE_SMELL,"Rename class ""AsyncAdapt_aioodbc_connection"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$.",45,5min,0.0,0.0,7.0,7.0,24.0,12.0,32.0,175.0,A,A,4,2,24,67,1.0,how it's supposed to work,37,43,This CODE_SMELL (python:S101) in aioodbc.py flags a third class name not matching naming conventions. Consistent with alerts 35 and 36; low practical impact.
AZ4INX57UdMD1-xUqsBN,lib/sqlalchemy/connectors/aioodbc.py,aioodbc.py,python:S101,LOW,MAINTAINABILITY,CODE_SMELL,"Rename class ""AsyncAdaptFallback_aioodbc_connection"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$.",90,5min,0.0,0.0,7.0,7.0,24.0,12.0,32.0,175.0,A,A,4,2,24,67,1.0,how it's supposed to work,38,44,This CODE_SMELL (python:S101) in aioodbc.py flags a fourth class name not matching naming conventions. Same low-priority style concern as the other S101 alerts in this file.
AZ4INX57UdMD1-xUqsBP,lib/sqlalchemy/connectors/aioodbc.py,aioodbc.py,python:S101,LOW,MAINTAINABILITY,CODE_SMELL,"Rename class ""AsyncAdapt_aioodbc_dbapi"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$.",96,5min,0.0,0.0,7.0,7.0,24.0,12.0,32.0,175.0,A,A,4,2,24,67,1.0,how it's supposed to work,39,45,"This CODE_SMELL (python:S101) in aioodbc.py flags a fifth class name not matching naming conventions. The lowest-priority of the naming convention alerts in this file, with no functional impact."
AZ4INX2yUdMD1-xUqr7G,lib/sqlalchemy/dialects/mssql/pymssql.py,pymssql.py,python:S1135,LOW,MAINTAINABILITY,CODE_SMELL,"Complete the task associated to this ""TODO"" comment.",69,0min,0.0,0.0,5.0,5.0,18.0,16.0,20.0,127.0,A,A,2,2,3,2,1.0,TODO: monkeypatching here is less than ideal,41,46,"This CODE_SMELL (python:S1135) in mssql/pymssql.py flags an unresolved TODO comment. TODOs indicate incomplete work but have zero remediation effort listed and no associated functional defect, making them low priority."
AZ4INX2rUdMD1-xUqr7A,lib/sqlalchemy/dialects/mssql/information_schema.py,information_schema.py,python:S1135,LOW,MAINTAINABILITY,CODE_SMELL,"Complete the task associated to this ""TODO"" comment.",148,0min,0.0,0.0,1.0,1.0,7.0,3.0,0.0,255.0,A,A,3,2,66,2,1.0,TODO: is CATLOG misspelled ?,40,47,"This CODE_SMELL (python:S1135) in mssql/information_schema.py flags a TODO comment. The file is small and simple (complexity 7, cognitive 3) with zero effort, making this the lowest-risk TODO in the set."
