issue_key,file_path,file,rule,impact_severity,impact_quality,type,message,line,effort,pool_rank
AZ4INX4RUdMD1-xUqr-a,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S1845,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename field ""Binary"" to prevent any misunderstanding/clash with field ""BINARY"" defined on line 267",270,10min,13
AZ4INX4RUdMD1-xUqr-e,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S2638,HIGH,MAINTAINABILITY,CODE_SMELL,Add missing parameters _translate_args.,314,15min,14
AZ4INX3_UdMD1-xUqr9w,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,218,30min,15
AZ4INX3_UdMD1-xUqr9x,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,323,30min,16
AZ4INX3_UdMD1-xUqr9y,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,343,30min,17
AZ4INYCJUdMD1-xUqsSr,lib/sqlalchemy/__init__.py,__init__.py,python:S1172,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Remove the unused function parameter ""lcls"".",275,5min,18
AZ4INX2yUdMD1-xUqr7H,lib/sqlalchemy/dialects/mssql/pymssql.py,pymssql.py,python:S2836,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Add a ""break"" statement or remove this ""else"" clause.",110,5min,19
AZ4INX21UdMD1-xUqr7L,lib/sqlalchemy/dialects/mssql/pyodbc.py,pyodbc.py,python:S1172,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Remove the unused function parameter ""dialect"".",469,5min,20
AZ4INX4RUdMD1-xUqr-Z,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S1542,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Rename function ""_Binary"" to match the regular expression ^[a-z_][a-z0-9_]*$.",238,10min,21
AZ4INX3_UdMD1-xUqr9l,lib/sqlalchemy/dialects/mysql/base.py,base.py,python:S1515,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Add a parameter to function ""replace"" and use variable ""column"" as its default value;The value of ""column"" might change at the next loop iteration.",1377,30min,22
AZ4INX3_UdMD1-xUqr9r,lib/sqlalchemy/dialects/mysql/base.py,base.py,python:S6035,MEDIUM,MAINTAINABILITY,CODE_SMELL,Replace this alternation with a character class.,2596,5min,23
AZ4INX34UdMD1-xUqr9Z,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S108,MEDIUM,MAINTAINABILITY,CODE_SMELL,Either remove or fill this block of code.,54,5min,24
AZ4INX34UdMD1-xUqr9a,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S108,MEDIUM,MAINTAINABILITY,CODE_SMELL,Either remove or fill this block of code.,62,5min,25
AZ4INX34UdMD1-xUqr9b,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S108,MEDIUM,MAINTAINABILITY,CODE_SMELL,Either remove or fill this block of code.,74,5min,26
AZ4INX34UdMD1-xUqr9W,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S1066,MEDIUM,MAINTAINABILITY,CODE_SMELL,Merge this if statement with the enclosing one.,189,5min,27
AZ4INX34UdMD1-xUqr9X,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S1066,MEDIUM,MAINTAINABILITY,CODE_SMELL,Merge this if statement with the enclosing one.,269,5min,28
AZ4INX42UdMD1-xUqr_Z,lib/sqlalchemy/dialects/oracle/base.py,base.py,python:S3923,MEDIUM,RELIABILITY,BUG,Remove this if statement or edit its code blocks so that they're not all the same.,1106,15min,29
AZ4INX4mUdMD1-xUqr-v,lib/sqlalchemy/dialects/oracle/cx_oracle.py,cx_oracle.py,python:S3923,MEDIUM,RELIABILITY,BUG,Remove this if statement or edit its code blocks so that they're not all the same.,506,15min,30
AZ4INX4mUdMD1-xUqr-5,lib/sqlalchemy/dialects/oracle/cx_oracle.py,cx_oracle.py,python:S125,MEDIUM,MAINTAINABILITY,CODE_SMELL,Remove this commented out code.,1081,5min,31
AZ4INX4pUdMD1-xUqr_F,lib/sqlalchemy/dialects/oracle/types.py,types.py,python:S1172,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Remove the unused function parameter ""dialect"".",128,5min,32
AZ4INX4pUdMD1-xUqr_G,lib/sqlalchemy/dialects/oracle/types.py,types.py,python:S1172,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Remove the unused function parameter ""dialect"".",146,5min,33
AZ4INX4pUdMD1-xUqr_H,lib/sqlalchemy/dialects/oracle/types.py,types.py,python:S4144,MEDIUM,MAINTAINABILITY,CODE_SMELL,Update this function so that its implementation is not identical to _adapt_from_generic_interval on line 209.,216,15min,34
AZ4INX57UdMD1-xUqsBK,lib/sqlalchemy/connectors/aioodbc.py,aioodbc.py,python:S101,LOW,MAINTAINABILITY,CODE_SMELL,"Rename class ""AsyncAdapt_aioodbc_cursor"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$.",28,5min,35
AZ4INX57UdMD1-xUqsBL,lib/sqlalchemy/connectors/aioodbc.py,aioodbc.py,python:S101,LOW,MAINTAINABILITY,CODE_SMELL,"Rename class ""AsyncAdapt_aioodbc_ss_cursor"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$.",39,5min,36
AZ4INX57UdMD1-xUqsBM,lib/sqlalchemy/connectors/aioodbc.py,aioodbc.py,python:S101,LOW,MAINTAINABILITY,CODE_SMELL,"Rename class ""AsyncAdapt_aioodbc_connection"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$.",45,5min,37
AZ4INX57UdMD1-xUqsBN,lib/sqlalchemy/connectors/aioodbc.py,aioodbc.py,python:S101,LOW,MAINTAINABILITY,CODE_SMELL,"Rename class ""AsyncAdaptFallback_aioodbc_connection"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$.",90,5min,38
AZ4INX57UdMD1-xUqsBP,lib/sqlalchemy/connectors/aioodbc.py,aioodbc.py,python:S101,LOW,MAINTAINABILITY,CODE_SMELL,"Rename class ""AsyncAdapt_aioodbc_dbapi"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$.",96,5min,39
AZ4INX2rUdMD1-xUqr7A,lib/sqlalchemy/dialects/mssql/information_schema.py,information_schema.py,python:S1135,LOW,MAINTAINABILITY,CODE_SMELL,"Complete the task associated to this ""TODO"" comment.",148,0min,40
AZ4INX2yUdMD1-xUqr7G,lib/sqlalchemy/dialects/mssql/pymssql.py,pymssql.py,python:S1135,LOW,MAINTAINABILITY,CODE_SMELL,"Complete the task associated to this ""TODO"" comment.",69,0min,41
AZ4INX21UdMD1-xUqr7K,lib/sqlalchemy/dialects/mssql/pyodbc.py,pyodbc.py,python:S117,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this local variable ""DBAPIBinary"" to match the regular expression ^[_a-z][a-z0-9_]*$.",452,2min,42
AZ4INX21UdMD1-xUqr7W,lib/sqlalchemy/dialects/mssql/pyodbc.py,pyodbc.py,python:S117,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this local variable ""odbc_SQL_SS_TIMESTAMPOFFSET"" to match the regular expression ^[_a-z][a-z0-9_]*$.",716,2min,43
AZ4INX4IUdMD1-xUqr99,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S1135,LOW,MAINTAINABILITY,CODE_SMELL,"Complete the task associated to this ""TODO"" comment.",42,0min,44
AZ4INX4RUdMD1-xUqr-S,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S1135,LOW,MAINTAINABILITY,CODE_SMELL,"Complete the task associated to this ""TODO"" comment.",41,0min,45
AZ4INX4VUdMD1-xUqr-g,lib/sqlalchemy/dialects/mysql/pymysql.py,pymysql.py,python:S117,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this local variable ""Connection"" to match the regular expression ^[_a-z][a-z0-9_]*$.",89,2min,46
AZ4INX4CUdMD1-xUqr95,lib/sqlalchemy/dialects/mysql/pyodbc.py,pyodbc.py,python:S117,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this local variable ""pyodbc_SQL_CHAR"" to match the regular expression ^[_a-z][a-z0-9_]*$.",129,2min,47
AZ4INX4CUdMD1-xUqr96,lib/sqlalchemy/dialects/mysql/pyodbc.py,pyodbc.py,python:S117,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this local variable ""pyodbc_SQL_WCHAR"" to match the regular expression ^[_a-z][a-z0-9_]*$.",130,2min,48
AZ4INX4EUdMD1-xUqr97,lib/sqlalchemy/dialects/mysql/types.py,types.py,python:S1135,LOW,MAINTAINABILITY,CODE_SMELL,"Complete the task associated to this ""TODO"" comment.",98,0min,49
AZ4INX3WUdMD1-xUqr8n,lib/sqlalchemy/dialects/postgresql/asyncpg.py,asyncpg.py,python:S3626,LOW,MAINTAINABILITY,CODE_SMELL,Remove this redundant continue.,675,1min,50
