issue_key,file_path,file,rule,impact_severity,impact_quality,type,message,line,effort
AZ4INX4RUdMD1-xUqr-T,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",119,5min
AZ4INX4RUdMD1-xUqr-a,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S1845,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename field ""Binary"" to prevent any misunderstanding/clash with field ""BINARY"" defined on line 267",270,10min
AZ4INX4RUdMD1-xUqr-e,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S2638,HIGH,MAINTAINABILITY,CODE_SMELL,Add missing parameters _translate_args.,314,15min
AZ4INX3_UdMD1-xUqr9w,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,218,30min
AZ4INX3_UdMD1-xUqr9x,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,323,30min
AZ4INX3_UdMD1-xUqr9y,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,343,30min
AZ4INX3_UdMD1-xUqr9z,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,385,30min
AZ4INX3_UdMD1-xUqr90,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,389,30min
AZ4INX3_UdMD1-xUqr91,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,433,30min
AZ4INX3_UdMD1-xUqr92,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,989,30min
AZ4INX3_UdMD1-xUqr9k,lib/sqlalchemy/dialects/mysql/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 28 to the 15 allowed.,1333,18min
AZ4INX3_UdMD1-xUqr9m,lib/sqlalchemy/dialects/mysql/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,1500,6min
AZ4INX3_UdMD1-xUqr9o,lib/sqlalchemy/dialects/mysql/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.,1940,10min
AZ4INX3_UdMD1-xUqr9j,lib/sqlalchemy/dialects/mysql/base.py,base.py,python:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""%s(%d)"" 3 times.",1990,6min
AZ4INX3_UdMD1-xUqr9p,lib/sqlalchemy/dialects/mysql/base.py,base.py,python:S1845,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename method ""visit_ENUM"" to prevent any misunderstanding/clash with method ""visit_enum"" defined on line 2359",2390,10min
AZ4INX3_UdMD1-xUqr9s,lib/sqlalchemy/dialects/mysql/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.,2987,8min
AZ4INX3_UdMD1-xUqr9t,lib/sqlalchemy/dialects/mysql/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.,3135,8min
AZ4INX37UdMD1-xUqr9h,lib/sqlalchemy/dialects/mysql/enumerated.py,enumerated.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.,172,8min
AZ4INX37UdMD1-xUqr9i,lib/sqlalchemy/dialects/mysql/enumerated.py,enumerated.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 24 to the 15 allowed.,201,14min
AZ4INX4eUdMD1-xUqr-j,lib/sqlalchemy/dialects/mysql/mariadbconnector.py,mariadbconnector.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,50,6min
AZ4INX4eUdMD1-xUqr-n,lib/sqlalchemy/dialects/mysql/mariadbconnector.py,mariadbconnector.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Specify an exception class to catch or reraise the exception,208,5min
AZ4INX4iUdMD1-xUqr-q,lib/sqlalchemy/dialects/mysql/mysqlconnector.py,mysqlconnector.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",50,5min
AZ4INX4LUdMD1-xUqr-P,lib/sqlalchemy/dialects/mysql/mysqldb.py,mysqldb.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,46,30min
AZ4INX4LUdMD1-xUqr-Q,lib/sqlalchemy/dialects/mysql/mysqldb.py,mysqldb.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,62,30min
AZ4INX4VUdMD1-xUqr-h,lib/sqlalchemy/dialects/mysql/pymysql.py,pymysql.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,37,30min
AZ4INX34UdMD1-xUqr9Y,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,43,6min
AZ4INX34UdMD1-xUqr9c,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 35 to the 15 allowed.,167,25min
AZ4INX34UdMD1-xUqr9d,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 34 to the 15 allowed.,223,24min
AZ4INX34UdMD1-xUqr9V,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""NOT NULL"" 3 times.",291,6min
AZ4INX42UdMD1-xUqr_V,lib/sqlalchemy/dialects/oracle/base.py,base.py,python:S1845,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename method ""visit_FLOAT"" to prevent any misunderstanding/clash with method ""visit_float"" defined on line 642",684,10min
AZ4INX42UdMD1-xUqr_W,lib/sqlalchemy/dialects/oracle/base.py,base.py,python:S4487,HIGH,MAINTAINABILITY,CODE_SMELL,Remove this unread private attribute '__wheres' or refactor the code to use its value.,800,5min
AZ4INX42UdMD1-xUqr_X,lib/sqlalchemy/dialects/oracle/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.,879,11min
AZ4INX42UdMD1-xUqr_Y,lib/sqlalchemy/dialects/oracle/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 81 to the 15 allowed.,1025,1h11min
AZ4INX42UdMD1-xUqr_a,lib/sqlalchemy/dialects/oracle/base.py,base.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Specify an exception class to catch or reraise the exception,1530,5min
AZ4INX42UdMD1-xUqr_b,lib/sqlalchemy/dialects/oracle/base.py,base.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Specify an exception class to catch or reraise the exception,1583,5min
AZ4INX42UdMD1-xUqr_c,lib/sqlalchemy/dialects/oracle/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,1724,6min
AZ4INX42UdMD1-xUqr_d,lib/sqlalchemy/dialects/oracle/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 23 to the 15 allowed.,2112,13min
AZ4INX42UdMD1-xUqr_e,lib/sqlalchemy/dialects/oracle/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 41 to the 15 allowed.,2289,31min
AZ4INX42UdMD1-xUqr_f,lib/sqlalchemy/dialects/oracle/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 24 to the 15 allowed.,2673,14min
AZ4INX42UdMD1-xUqr_g,lib/sqlalchemy/dialects/oracle/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 47 to the 15 allowed.,2910,37min
AZ4INX4mUdMD1-xUqr-u,lib/sqlalchemy/dialects/oracle/cx_oracle.py,cx_oracle.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 33 to the 15 allowed.,500,23min
AZ4INX4mUdMD1-xUqr-3,lib/sqlalchemy/dialects/oracle/cx_oracle.py,cx_oracle.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 36 to the 15 allowed.,766,26min
AZ4INX4mUdMD1-xUqr-8,lib/sqlalchemy/dialects/oracle/cx_oracle.py,cx_oracle.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,1226,7min
AZ4INX4mUdMD1-xUqr-9,lib/sqlalchemy/dialects/oracle/cx_oracle.py,cx_oracle.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 27 to the 15 allowed.,1318,17min
AZ4INX4xUdMD1-xUqr_R,lib/sqlalchemy/dialects/oracle/oracledb.py,oracledb.py,python:S2638,HIGH,MAINTAINABILITY,CODE_SMELL,Add missing parameters server_side.,328,15min
AZ4INX4sUdMD1-xUqr_I,lib/sqlalchemy/dialects/oracle/provision.py,provision.py,python:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""%s_ts1"" 4 times.",49,8min
AZ4INX4sUdMD1-xUqr_J,lib/sqlalchemy/dialects/oracle/provision.py,provision.py,python:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""%s_ts2"" 4 times.",50,8min
AZ4INX3eUdMD1-xUqr9J,lib/sqlalchemy/dialects/postgresql/base.py,base.py,secrets:S6698,HIGH,SECURITY,VULNERABILITY,Make sure this PostgreSQL database password gets changed and removed from the code.,171,30min
AZ4INX3eUdMD1-xUqr9K,lib/sqlalchemy/dialects/postgresql/base.py,base.py,secrets:S6698,HIGH,SECURITY,VULNERABILITY,Make sure this PostgreSQL database password gets changed and removed from the code.,272,30min
AZ4INX3eUdMD1-xUqr9L,lib/sqlalchemy/dialects/postgresql/base.py,base.py,secrets:S6698,HIGH,SECURITY,VULNERABILITY,Make sure this PostgreSQL database password gets changed and removed from the code.,318,30min
AZ4INX3eUdMD1-xUqr9M,lib/sqlalchemy/dialects/postgresql/base.py,base.py,secrets:S6698,HIGH,SECURITY,VULNERABILITY,Make sure this PostgreSQL database password gets changed and removed from the code.,474,30min
AZ4INX3eUdMD1-xUqr80,lib/sqlalchemy/dialects/postgresql/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.,2042,9min
AZ4INX3eUdMD1-xUqr8v,lib/sqlalchemy/dialects/postgresql/base.py,base.py,python:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""%s = %s"" 3 times.",2077,6min
AZ4INX3eUdMD1-xUqr81,lib/sqlalchemy/dialects/postgresql/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.,2151,10min
AZ4INX3eUdMD1-xUqr82,lib/sqlalchemy/dialects/postgresql/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,2280,7min
AZ4INX3eUdMD1-xUqr83,lib/sqlalchemy/dialects/postgresql/base.py,base.py,python:S1845,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename method ""visit_ENUM"" to prevent any misunderstanding/clash with method ""visit_enum"" defined on line 2626",2632,10min
AZ4INX3eUdMD1-xUqr84,lib/sqlalchemy/dialects/postgresql/base.py,base.py,python:S1845,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename method ""visit_UUID"" to prevent any misunderstanding/clash with method ""visit_uuid"" defined on line 2679",2685,10min
AZ4INX3eUdMD1-xUqr86,lib/sqlalchemy/dialects/postgresql/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.,2910,9min
AZ4INX3eUdMD1-xUqr87,lib/sqlalchemy/dialects/postgresql/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 45 to the 15 allowed.,3166,35min
AZ4INX3eUdMD1-xUqr8_,lib/sqlalchemy/dialects/postgresql/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 44 to the 15 allowed.,3716,34min
AZ4INX3eUdMD1-xUqr9A,lib/sqlalchemy/dialects/postgresql/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 35 to the 15 allowed.,3861,25min
AZ4INX3eUdMD1-xUqr9B,lib/sqlalchemy/dialects/postgresql/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.,4065,9min
AZ4INX3eUdMD1-xUqr9C,lib/sqlalchemy/dialects/postgresql/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.,4237,8min
AZ4INX3eUdMD1-xUqr9F,lib/sqlalchemy/dialects/postgresql/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 86 to the 15 allowed.,4486,1h16min
AZ4INX3eUdMD1-xUqr9G,lib/sqlalchemy/dialects/postgresql/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.,4778,8min
AZ4INX3DUdMD1-xUqr76,lib/sqlalchemy/dialects/postgresql/json.py,json.py,secrets:S6698,HIGH,SECURITY,VULNERABILITY,Make sure this PostgreSQL database password gets changed and removed from the code.,131,30min
AZ4INX3AUdMD1-xUqr74,lib/sqlalchemy/dialects/postgresql/pg8000.py,pg8000.py,secrets:S6698,HIGH,SECURITY,VULNERABILITY,Make sure this PostgreSQL database password gets changed and removed from the code.,55,30min
AZ4INX3AUdMD1-xUqr75,lib/sqlalchemy/dialects/postgresql/pg8000.py,pg8000.py,secrets:S6698,HIGH,SECURITY,VULNERABILITY,Make sure this PostgreSQL database password gets changed and removed from the code.,68,30min
AZ4INX3AUdMD1-xUqr7y,lib/sqlalchemy/dialects/postgresql/pg8000.py,pg8000.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",383,5min
AZ4INX3GUdMD1-xUqr8K,lib/sqlalchemy/dialects/postgresql/psycopg.py,psycopg.py,secrets:S6698,HIGH,SECURITY,VULNERABILITY,Make sure this PostgreSQL database password gets changed and removed from the code.,32,30min
AZ4INX3GUdMD1-xUqr8L,lib/sqlalchemy/dialects/postgresql/psycopg.py,psycopg.py,secrets:S6698,HIGH,SECURITY,VULNERABILITY,Make sure this PostgreSQL database password gets changed and removed from the code.,39,30min
AZ4INX3GUdMD1-xUqr8M,lib/sqlalchemy/dialects/postgresql/psycopg.py,psycopg.py,secrets:S6698,HIGH,SECURITY,VULNERABILITY,Make sure this PostgreSQL database password gets changed and removed from the code.,45,30min
AZ4INX3KUdMD1-xUqr8R,lib/sqlalchemy/dialects/postgresql/psycopg2.py,psycopg2.py,secrets:S6698,HIGH,SECURITY,VULNERABILITY,Make sure this PostgreSQL database password gets changed and removed from the code.,63,30min
AZ4INX3KUdMD1-xUqr8S,lib/sqlalchemy/dialects/postgresql/psycopg2.py,psycopg2.py,secrets:S6698,HIGH,SECURITY,VULNERABILITY,Make sure this PostgreSQL database password gets changed and removed from the code.,88,30min
AZ4INX3KUdMD1-xUqr8T,lib/sqlalchemy/dialects/postgresql/psycopg2.py,psycopg2.py,secrets:S6698,HIGH,SECURITY,VULNERABILITY,Make sure this PostgreSQL database password gets changed and removed from the code.,266,30min
AZ4INX3KUdMD1-xUqr8U,lib/sqlalchemy/dialects/postgresql/psycopg2.py,psycopg2.py,secrets:S6698,HIGH,SECURITY,VULNERABILITY,Make sure this PostgreSQL database password gets changed and removed from the code.,313,30min
AZ4INX3KUdMD1-xUqr8V,lib/sqlalchemy/dialects/postgresql/psycopg2.py,psycopg2.py,secrets:S6698,HIGH,SECURITY,VULNERABILITY,Make sure this PostgreSQL database password gets changed and removed from the code.,474,30min
AZ4INX3PUdMD1-xUqr8X,lib/sqlalchemy/dialects/postgresql/ranges.py,ranges.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 60 to the 15 allowed.,210,50min
AZ4INX3PUdMD1-xUqr8Y,lib/sqlalchemy/dialects/postgresql/ranges.py,ranges.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 27 to the 15 allowed.,459,17min
AZ4INX3PUdMD1-xUqr8Z,lib/sqlalchemy/dialects/postgresql/ranges.py,ranges.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 24 to the 15 allowed.,577,14min
AZ4INX2jUdMD1-xUqr6w,lib/sqlalchemy/dialects/sqlite/aiosqlite.py,aiosqlite.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",160,5min
AZ4INX2jUdMD1-xUqr6t,lib/sqlalchemy/dialects/sqlite/aiosqlite.py,aiosqlite.py,python:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""no active connection"" 3 times.",292,6min
AZ4INX2cUdMD1-xUqr6e,lib/sqlalchemy/dialects/sqlite/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.,1464,9min
AZ4INX2cUdMD1-xUqr6f,lib/sqlalchemy/dialects/sqlite/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,1540,7min
AZ4INX2cUdMD1-xUqr6b,lib/sqlalchemy/dialects/sqlite/base.py,base.py,python:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal "" ON CONFLICT "" 5 times.",1558,10min
AZ4INX2cUdMD1-xUqr6j,lib/sqlalchemy/dialects/sqlite/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 54 to the 15 allowed.,2391,44min
AZ4INX2cUdMD1-xUqr6q,lib/sqlalchemy/dialects/sqlite/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 26 to the 15 allowed.,2655,16min
AZ4INX2YUdMD1-xUqr6W,lib/sqlalchemy/dialects/sqlite/provision.py,provision.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.,36,9min
AZ4INX2YUdMD1-xUqr6Y,lib/sqlalchemy/dialects/sqlite/provision.py,provision.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this function is empty, or complete the implementation.",145,5min
AZ4INX2pUdMD1-xUqr65,lib/sqlalchemy/dialects/sqlite/pysqlite.py,pysqlite.py,python:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal "":memory:"" 3 times.",514,6min
AZ4INX2pUdMD1-xUqr6-,lib/sqlalchemy/dialects/sqlite/pysqlite.py,pysqlite.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this function is empty, or complete the implementation.",689,5min
AZ4INX5hUdMD1-xUqsAR,lib/sqlalchemy/engine/base.py,base.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Catch a more specific exception or reraise the exception,588,5min
AZ4INX5hUdMD1-xUqsAS,lib/sqlalchemy/engine/base.py,base.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Catch a more specific exception or reraise the exception,634,5min
AZ4INX5hUdMD1-xUqsAQ,lib/sqlalchemy/engine/base.py,base.py,python:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""This Connection is closed"" 3 times.",680,6min
AZ4INX5hUdMD1-xUqsAT,lib/sqlalchemy/engine/base.py,base.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Catch a more specific exception or reraise the exception,1108,5min
AZ4INX5hUdMD1-xUqsAU,lib/sqlalchemy/engine/base.py,base.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Catch a more specific exception or reraise the exception,1128,5min
AZ4INX5hUdMD1-xUqsAV,lib/sqlalchemy/engine/base.py,base.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Catch a more specific exception or reraise the exception,1145,5min
AZ4INX5hUdMD1-xUqsAW,lib/sqlalchemy/engine/base.py,base.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Catch a more specific exception or reraise the exception,1180,5min
AZ4INX5hUdMD1-xUqsAX,lib/sqlalchemy/engine/base.py,base.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Catch a more specific exception or reraise the exception,1192,5min
AZ4INX5hUdMD1-xUqsAY,lib/sqlalchemy/engine/base.py,base.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Catch a more specific exception or reraise the exception,1205,5min
AZ4INX5hUdMD1-xUqsAZ,lib/sqlalchemy/engine/base.py,base.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Catch a more specific exception or reraise the exception,1215,5min
AZ4INX5hUdMD1-xUqsAa,lib/sqlalchemy/engine/base.py,base.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Catch a more specific exception or reraise the exception,1478,5min
AZ4INX5hUdMD1-xUqsAb,lib/sqlalchemy/engine/base.py,base.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Catch a more specific exception or reraise the exception,1820,5min
