issue_key,file_path,file,rule,impact_severity,impact_quality,type,message,line,effort,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,sqale_index,lines,reliability_rating,security_rating,commit_count,unique_authors,churn,days_since_modified,file_age_days,satd_count,satd_text,satd_age_days,satd_change_count,pool_rank
AZ4INX3_UdMD1-xUqr9y,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,343,30min,0.0,7.0,13.0,20.0,391.0,384.0,113.0,3450.0,A,E,17,9,1405,2,6121,3.0,that hits each backend and maybe make a requires rule for it? | TODO: remove ?? | is very slow since mysql does not seem able to properly use indexse.,,,22
AZ4INX3_UdMD1-xUqr9z,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,385,30min,0.0,7.0,13.0,20.0,391.0,384.0,113.0,3450.0,A,E,17,9,1405,2,6121,3.0,that hits each backend and maybe make a requires rule for it? | TODO: remove ?? | is very slow since mysql does not seem able to properly use indexse.,,,23
AZ4INX3_UdMD1-xUqr90,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,389,30min,0.0,7.0,13.0,20.0,391.0,384.0,113.0,3450.0,A,E,17,9,1405,2,6121,3.0,that hits each backend and maybe make a requires rule for it? | TODO: remove ?? | is very slow since mysql does not seem able to properly use indexse.,,,24
AZ4INX3_UdMD1-xUqr9j,lib/sqlalchemy/dialects/mysql/base.py,base.py,python:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""%s(%d)"" 3 times.",1990,6min,0.0,7.0,13.0,20.0,391.0,384.0,113.0,3450.0,A,E,17,9,1405,2,6121,3.0,that hits each backend and maybe make a requires rule for it? | TODO: remove ?? | is very slow since mysql does not seem able to properly use indexse.,,,25
AZ4INX4eUdMD1-xUqr-n,lib/sqlalchemy/dialects/mysql/mariadbconnector.py,mariadbconnector.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Specify an exception class to catch or reraise the exception,208,5min,0.0,0.0,5.0,5.0,39.0,38.0,26.0,278.0,A,A,4,3,109,2,2089,2.0,"work around JIRA issue | https://jira.mariadb.org/browse/CONPY-270.  When that issue is fixed,",,,26
AZ4INX4iUdMD1-xUqr-q,lib/sqlalchemy/dialects/mysql/mysqlconnector.py,mysqlconnector.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",50,5min,0.0,0.0,4.0,4.0,24.0,12.0,20.0,181.0,A,A,7,3,146,2,5970,,,,,27
AZ4INX34UdMD1-xUqr9V,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""NOT NULL"" 3 times.",291,6min,0.0,0.0,12.0,12.0,98.0,138.0,102.0,678.0,A,A,4,3,127,2,3779,,,,,28
AZ4INX42UdMD1-xUqr_W,lib/sqlalchemy/dialects/oracle/base.py,base.py,python:S4487,HIGH,MAINTAINABILITY,CODE_SMELL,Remove this unread private attribute '__wheres' or refactor the code to use its value.,800,5min,1.0,0.0,11.0,12.0,400.0,473.0,208.0,3273.0,C,A,7,7,272,54,6121,3.0,"technically, this could be supported, but as it would be | This type seems to be very hard to cast into something else | outerjoin + where null works better on oracle 21 but 11 does",,,29
AZ4INX42UdMD1-xUqr_a,lib/sqlalchemy/dialects/oracle/base.py,base.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Specify an exception class to catch or reraise the exception,1530,5min,1.0,0.0,11.0,12.0,400.0,473.0,208.0,3273.0,C,A,7,7,272,54,6121,3.0,"technically, this could be supported, but as it would be | This type seems to be very hard to cast into something else | outerjoin + where null works better on oracle 21 but 11 does",,,30
AZ4INX42UdMD1-xUqr_b,lib/sqlalchemy/dialects/oracle/base.py,base.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Specify an exception class to catch or reraise the exception,1583,5min,1.0,0.0,11.0,12.0,400.0,473.0,208.0,3273.0,C,A,7,7,272,54,6121,3.0,"technically, this could be supported, but as it would be | This type seems to be very hard to cast into something else | outerjoin + where null works better on oracle 21 but 11 does",,,31
AZ4INX4xUdMD1-xUqr_R,lib/sqlalchemy/dialects/oracle/oracledb.py,oracledb.py,python:S2638,HIGH,MAINTAINABILITY,CODE_SMELL,Add missing parameters server_side.,328,15min,0.0,0.0,9.0,9.0,68.0,34.0,55.0,432.0,A,A,8,5,42,2,1437,,,,,32
AZ4INX4sUdMD1-xUqr_I,lib/sqlalchemy/dialects/oracle/provision.py,provision.py,python:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""%s_ts1"" 4 times.",49,8min,0.0,0.0,2.0,2.0,32.0,31.0,16.0,221.0,A,A,5,2,138,116,2309,2.0,"this was meant to work around this issue: | TODO: oracledb claims to have this feature built in somehow,",,,33
AZ4INYCJUdMD1-xUqsSr,lib/sqlalchemy/__init__.py,__init__.py,python:S1172,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Remove the unused function parameter ""lcls"".",275,5min,0.0,0.0,1.0,1.0,3.0,1.0,5.0,295.0,A,A,17,5,42,24,7618,,,,,34
AZ4INX28UdMD1-xUqr7b,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S6660,MEDIUM,MAINTAINABILITY,CODE_SMELL,Use the `isinstance()` function here.,1225,2min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,6121,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",,,35
AZ4INX28UdMD1-xUqr7c,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1172,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Remove the unused function parameter ""dialect"".",1301,5min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,6121,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",,,36
AZ4INX28UdMD1-xUqr7d,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S6660,MEDIUM,MAINTAINABILITY,CODE_SMELL,Use the `isinstance()` function here.,1303,2min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,6121,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",,,37
AZ4INX28UdMD1-xUqr7n,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S6035,MEDIUM,MAINTAINABILITY,CODE_SMELL,Replace this alternation with a character class.,2919,5min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,6121,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",,,38
AZ4INX28UdMD1-xUqr7s,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1871,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Either merge this branch with the identical one on line ""3742"" or change one of the implementations.",3745,10min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,6121,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",,,39
AZ4INX2yUdMD1-xUqr7H,lib/sqlalchemy/dialects/mssql/pymssql.py,pymssql.py,python:S2836,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Add a ""break"" statement or remove this ""else"" clause.",110,5min,0.0,0.0,5.0,5.0,18.0,16.0,20.0,127.0,A,A,2,2,3,2,6121,1.0,TODO: monkeypatching here is less than ideal,,,40
AZ4INX21UdMD1-xUqr7L,lib/sqlalchemy/dialects/mssql/pyodbc.py,pyodbc.py,python:S1172,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Remove the unused function parameter ""dialect"".",469,5min,0.0,1.0,15.0,16.0,65.0,73.0,69.0,746.0,A,E,3,2,67,2,6121,,,,,41
AZ4INX4RUdMD1-xUqr-Z,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S1542,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Rename function ""_Binary"" to match the regular expression ^[a-z_][a-z0-9_]*$.",238,10min,0.0,0.0,14.0,14.0,55.0,19.0,72.0,338.0,A,A,8,3,122,2,1713,,,,,42
AZ4INX3_UdMD1-xUqr9l,lib/sqlalchemy/dialects/mysql/base.py,base.py,python:S1515,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Add a parameter to function ""replace"" and use variable ""column"" as its default value;The value of ""column"" might change at the next loop iteration.",1377,30min,0.0,7.0,13.0,20.0,391.0,384.0,113.0,3450.0,A,E,17,9,1405,2,6121,3.0,that hits each backend and maybe make a requires rule for it? | TODO: remove ?? | is very slow since mysql does not seem able to properly use indexse.,,,43
AZ4INX3_UdMD1-xUqr9r,lib/sqlalchemy/dialects/mysql/base.py,base.py,python:S6035,MEDIUM,MAINTAINABILITY,CODE_SMELL,Replace this alternation with a character class.,2596,5min,0.0,7.0,13.0,20.0,391.0,384.0,113.0,3450.0,A,E,17,9,1405,2,6121,3.0,that hits each backend and maybe make a requires rule for it? | TODO: remove ?? | is very slow since mysql does not seem able to properly use indexse.,,,44
AZ4INX3_UdMD1-xUqr9u,lib/sqlalchemy/dialects/mysql/base.py,base.py,python:S108,MEDIUM,MAINTAINABILITY,CODE_SMELL,Either remove or fill this block of code.,3153,5min,0.0,7.0,13.0,20.0,391.0,384.0,113.0,3450.0,A,E,17,9,1405,2,6121,3.0,that hits each backend and maybe make a requires rule for it? | TODO: remove ?? | is very slow since mysql does not seem able to properly use indexse.,,,45
AZ4INX34UdMD1-xUqr9Z,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S108,MEDIUM,MAINTAINABILITY,CODE_SMELL,Either remove or fill this block of code.,54,5min,0.0,0.0,12.0,12.0,98.0,138.0,102.0,678.0,A,A,4,3,127,2,3779,,,,,46
AZ4INX34UdMD1-xUqr9a,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S108,MEDIUM,MAINTAINABILITY,CODE_SMELL,Either remove or fill this block of code.,62,5min,0.0,0.0,12.0,12.0,98.0,138.0,102.0,678.0,A,A,4,3,127,2,3779,,,,,47
AZ4INX34UdMD1-xUqr9b,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S108,MEDIUM,MAINTAINABILITY,CODE_SMELL,Either remove or fill this block of code.,74,5min,0.0,0.0,12.0,12.0,98.0,138.0,102.0,678.0,A,A,4,3,127,2,3779,,,,,48
AZ4INX34UdMD1-xUqr9W,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S1066,MEDIUM,MAINTAINABILITY,CODE_SMELL,Merge this if statement with the enclosing one.,189,5min,0.0,0.0,12.0,12.0,98.0,138.0,102.0,678.0,A,A,4,3,127,2,3779,,,,,49
AZ4INX34UdMD1-xUqr9X,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S1066,MEDIUM,MAINTAINABILITY,CODE_SMELL,Merge this if statement with the enclosing one.,269,5min,0.0,0.0,12.0,12.0,98.0,138.0,102.0,678.0,A,A,4,3,127,2,3779,,,,,50
AZ4INX34UdMD1-xUqr9f,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S108,MEDIUM,MAINTAINABILITY,CODE_SMELL,Either remove or fill this block of code.,354,5min,0.0,0.0,12.0,12.0,98.0,138.0,102.0,678.0,A,A,4,3,127,2,3779,,,,,51
AZ4INX34UdMD1-xUqr9e,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S1871,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Either merge this branch with the identical one on line ""358"" or change one of the implementations.",361,10min,0.0,0.0,12.0,12.0,98.0,138.0,102.0,678.0,A,A,4,3,127,2,3779,,,,,52
AZ4INX34UdMD1-xUqr9g,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S5799,MEDIUM,MAINTAINABILITY,CODE_SMELL,Merge these implicitly concatenated strings; or did you forget a comma?,498,1min,0.0,0.0,12.0,12.0,98.0,138.0,102.0,678.0,A,A,4,3,127,2,3779,,,,,53
AZ4INX42UdMD1-xUqr_Z,lib/sqlalchemy/dialects/oracle/base.py,base.py,python:S3923,MEDIUM,RELIABILITY,BUG,Remove this if statement or edit its code blocks so that they're not all the same.,1106,15min,1.0,0.0,11.0,12.0,400.0,473.0,208.0,3273.0,C,A,7,7,272,54,6121,3.0,"technically, this could be supported, but as it would be | This type seems to be very hard to cast into something else | outerjoin + where null works better on oracle 21 but 11 does",,,54
AZ4INX4mUdMD1-xUqr-v,lib/sqlalchemy/dialects/oracle/cx_oracle.py,cx_oracle.py,python:S3923,MEDIUM,RELIABILITY,BUG,Remove this if statement or edit its code blocks so that they're not all the same.,506,15min,1.0,0.0,21.0,22.0,163.0,186.0,113.0,1484.0,C,A,5,4,98,2,6121,9.0,TODO: the names used across CHAR / VARCHAR / NCHAR / NVARCHAR | here are inconsistent and not very good | take care of reserved words | TODO: we could likely do away with quoting altogether for | this is the only way to ensure a transaction is started without | TODO: Others ? | TODO: others? | TODO: need to end XA state here | TODO: need to end XA state here,,,55
AZ4INX4mUdMD1-xUqr-5,lib/sqlalchemy/dialects/oracle/cx_oracle.py,cx_oracle.py,python:S125,MEDIUM,MAINTAINABILITY,CODE_SMELL,Remove this commented out code.,1081,5min,1.0,0.0,21.0,22.0,163.0,186.0,113.0,1484.0,C,A,5,4,98,2,6121,9.0,TODO: the names used across CHAR / VARCHAR / NCHAR / NVARCHAR | here are inconsistent and not very good | take care of reserved words | TODO: we could likely do away with quoting altogether for | this is the only way to ensure a transaction is started without | TODO: Others ? | TODO: others? | TODO: need to end XA state here | TODO: need to end XA state here,,,56
AZ4INX4pUdMD1-xUqr_F,lib/sqlalchemy/dialects/oracle/types.py,types.py,python:S1172,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Remove the unused function parameter ""dialect"".",128,5min,0.0,0.0,5.0,5.0,30.0,12.0,35.0,288.0,A,A,5,4,55,54,1669,,,,,57
AZ4INX4pUdMD1-xUqr_G,lib/sqlalchemy/dialects/oracle/types.py,types.py,python:S1172,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Remove the unused function parameter ""dialect"".",146,5min,0.0,0.0,5.0,5.0,30.0,12.0,35.0,288.0,A,A,5,4,55,54,1669,,,,,58
AZ4INX4pUdMD1-xUqr_H,lib/sqlalchemy/dialects/oracle/types.py,types.py,python:S4144,MEDIUM,MAINTAINABILITY,CODE_SMELL,Update this function so that its implementation is not identical to _adapt_from_generic_interval on line 209.,216,15min,0.0,0.0,5.0,5.0,30.0,12.0,35.0,288.0,A,A,5,4,55,54,1669,,,,,59
AZ4INX3qUdMD1-xUqr9P,lib/sqlalchemy/dialects/postgresql/array.py,array.py,python:S1542,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Rename function ""Any"" to match the regular expression ^[a-z_][a-z0-9_]*$.",30,10min,0.0,0.0,3.0,3.0,45.0,40.0,25.0,426.0,A,A,5,2,41,116,3919,,,,,60
AZ4INX3qUdMD1-xUqr9Q,lib/sqlalchemy/dialects/postgresql/array.py,array.py,python:S1542,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Rename function ""All"" to match the regular expression ^[a-z_][a-z0-9_]*$.",39,10min,0.0,0.0,3.0,3.0,45.0,40.0,25.0,426.0,A,A,5,2,41,116,3919,,,,,61
AZ4INX3qUdMD1-xUqr9R,lib/sqlalchemy/dialects/postgresql/array.py,array.py,python:S3358,MEDIUM,MAINTAINABILITY,CODE_SMELL,Extract this nested conditional expression into an independent statement.,112,5min,0.0,0.0,3.0,3.0,45.0,40.0,25.0,426.0,A,A,5,2,41,116,3919,,,,,62
AZ4INX3WUdMD1-xUqr8h,lib/sqlalchemy/dialects/postgresql/asyncpg.py,asyncpg.py,python:S5806,MEDIUM,MAINTAINABILITY,CODE_SMELL,Rename this variable; it shadows a builtin.,396,5min,0.0,0.0,17.0,17.0,164.0,141.0,67.0,1279.0,A,A,14,4,290,23,2218,2.0,TODO: looks like we have to hand-roll some kind of batching here. | hardcoding for the moment but this should be improved.,,,63
AZ4INX3WUdMD1-xUqr8q,lib/sqlalchemy/dialects/postgresql/asyncpg.py,asyncpg.py,python:S2836,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Add a ""break"" statement or remove this ""else"" clause.",785,5min,0.0,0.0,17.0,17.0,164.0,141.0,67.0,1279.0,A,A,14,4,290,23,2218,2.0,TODO: looks like we have to hand-roll some kind of batching here. | hardcoding for the moment but this should be improved.,,,64
AZ4INX3eUdMD1-xUqr8y,lib/sqlalchemy/dialects/postgresql/base.py,base.py,python:S5869,MEDIUM,MAINTAINABILITY,CODE_SMELL,Remove duplicates in this character class.,1544,5min,1.0,4.0,21.0,26.0,478.0,538.0,296.0,5008.0,C,E,32,12,1353,27,4989,4.0,"FIXME: ugly hack to get out of transaction | NOTE: pg_index is used as from two times to improve performance, | NOTE: repeating oids clause improve query performance | it *might* be nice to include that this is 'btree' in the",,,65
AZ4INX3eUdMD1-xUqr8z,lib/sqlalchemy/dialects/postgresql/base.py,base.py,python:S5855,MEDIUM,RELIABILITY,BUG,Remove or rework this redundant alternative.,1544,5min,1.0,4.0,21.0,26.0,478.0,538.0,296.0,5008.0,C,E,32,12,1353,27,4989,4.0,"FIXME: ugly hack to get out of transaction | NOTE: pg_index is used as from two times to improve performance, | NOTE: repeating oids clause improve query performance | it *might* be nice to include that this is 'btree' in the",,,66
